venturecaptialform,desc,keyppl,datefounded,blog,website,twitter,location
Eagle Investments,A financial advisor in Dubai that focuses on private and public sectors working with corporate finance and business strategy, ,2008, ,eagle-investments.com, ,Dubai 
HealthX Ventures,HealthX Ventures is a venture capital firm focused on digital healthcare companies., , ,healthxventures.com/blog ,healthxventures.com,@healthxventures,"Madison, Wisconsin "
Tauro Capital Partners,"Australian firm focusing on microventures, crowdfunding, mergers, acquisitions and early-stage ", ,2007, ,taurocapital.com.au, ,Melbourne 
New Wave Ventures,London based venture capital firm investing in companies with high growth potential, ,2010, ,nwventures.co.uk, ,London 
Redmile Group,"Healthcare investment organization that does venture, growth and crossover investing across healthcare.", ,8-Mar-07, ,redmilegroup.com, ,San Francisco 
Allen & Buckeridge,"A venture capital and private equity firm providing funding and consulting services to telecommunications, networking, and software companies. ", ,1996, ,a-b.com.au,@allen,Sydney 
Estonian Development Fund,A Tallinn-based government office that invests in companies in the innovative technology sector, ,2016, ,arengufond.ee,@arengufond,Tallinn 
Ventech China,"A venture capital and private equity firm investing in early-stage information technology, life sciences, mobile technology, and e-commerce companies. ", , , ,ventechchina.com,@ventech_vc, 
Harpoon Ventures,?, ,2018, ,harpoon.vc, ,San Diego 
DGNL Ventures,A venture capital and private equity firm making early-stage venture investment focused exclusively on the consumer sector., , , ,dgnl.vc, ,New York City 
Lucas Venture Group,"Lucas Venture Group is a Menlo Park, California-based venture capital company founded in 1985.", ,1985, ,lucasvg.com,@vconthebrain,"Menlo Park, California "
OnWave Ventures,"OnWave Ventures is an Oakville, Canada based venture capital firm focused on early and growth stage investments in financial, mobile and internet technology.", , , ,onwaveventures.com, ,"Oakville, Ontario "
Axil Capital,A venture capital and private equity firm investing in early-stage biomedical & healthcare technology companies. , , , ,axilcapital.com/home-en, ,Tokyo 
InFocus Capital Partners,New York based venture capital firm investing in the Ophthalmology lifesciences industry, , , ,infocuscapitalpartners.com, ,Jericho 
Argoquest,"Argoquest has been engaged in identifying, funding, developing and managing a network of technology companies.", ,1997, ,argoquest.com, ,Tel Aviv Tokyo Los Angeles 
Incitia Partners,Incitia Partners is an Oslo based venture capital firm which closed in 2014., , , ,incitia.com, ,Oslo Norway 
Post Oak Energy Capital,A Houston-based venture capital firm that specializes investing in the oil and gas industry, , , ,postoakenergy.com, ,Houston 
CoBro Ventures,"A venture capital firm from McLean, Virginia that funds startips and manages investment portfolios for public and private companies", , , ,cobroventures.com, ,"McLean, Virginia "
Zoovu,Zoovu is a private equity and digital marketing company that is interested in digital engagement experiences, , , ,zoovu.com,@zoovu,Austria 
Republic Financial Corporation,Colorado-based venture capital firm investing in multiple industries since 1971, ,1971, ,republic-financial.com, ,Colorado 
ABB Technology Ventures,ABB Technology Ventures is a venture capital investing in breakthrough industrial technology companies., , ,abb-conversations.com ,new.abb.com/about/tec...y/ventures,@abbgroupnews, 
Flat6 Labs,Startup accelerator founded in 2011, , ,blog.flat6labs.com ,flat6labs.com,@Flat6Labs,Giza 
Dell Technology Capital,Dell Technology Capital is the San Francisco based venture capital investment arm of Dell Technologies founded in 2010 to invest in early state technology startups , ,2012, ,delltechnologies.com/en-u...al.htm, ,San Francisco 
79 Studios,79 Studios is a venture capital firm investing in women and minority entrepreneurs., , ,newplayingfield.com ,79studios.com,@79studiosllc,Los Angeles 
KB Investment,"KB Investment is a venture capital, private equity, and investment firm that is interested in early-stage and seed investment opportunities", , , ,kbic.co.kr, ,Seoul 
Andersen Advisory Group,"A private equity firm in Denmark and the holding company of Andersen Management International, a consulting firm", ,1991, ,aag.dk, ,Copenhagen 
Polaris Private Equity,A venture capital and private equity firm investing in medium sized companies. , , , ,polarisequity.dk, , 
Z5 Capital,"Z5 Capital is a seed stage venture capital firm investing in artificial intelligence, machine learning, digital security, big data, analytics, infrastructure and efficiency sectors.", , , ,z5capital.com, ,"Palo Alto, California "
ChangePartners,ChangePartners is an independent company dedicated to mid-size transactions in the Iberian market., ,2000, ,changepartners.pt, ,Porto 
a>m ventures,"a>m ventures is a venture capital company that invests in and provides for startups with branding, content development, public relations, strategy development, and other services.", , , ,amventures.co,@amventuresllc, 
Northwest Georgia Bank,"An investment bank in Georgia that offers personal and business banking services such as loans, lines of credit, savings accounts, deposits and insurance", ,1904, ,northwestgabankonline.com/ho...ome, ,"Ringgold, Georgia "
Annex Ventures,"A venture capital and private equity firm investing in applications, software, hardware, security, life science biotechnology, medical devices, alternative energy markets. ", ,2005, ,annexventures.com,@platinum,"San Jose, California "
Lis Ventures,"A microventure firm in Michigan that invests in ideas and concepts that improve the wellness, vitality and lifestyle of people", ,2005, ,lisventures.com, ,"Farmington Hills, Michigan "
Hyperplane (Venture Capital),Hyperplane Venture Capital is a venture capital and investment firm that is interested in early-stage and seed-stage investments, ,2014, ,hyperplane.vc, , 
SparkLabs Ventures,SparkLabs Ventures is a venture capital fund and part of the SparkLabs Group., , , ,sparklabsventures.com, ,Seoul 
BlackFin Capital Partners,BlackFin Capital Partners is a Paris based venture capital firm founded in 2009., ,2009, ,blackfincp.com, ,Parismina 
CME Ventures,CME Ventures is a wholly-owned and strategic investment arm of CME Group., , , ,cmegroup.com/cme-vent...es.html, ,Chicago 
KGC Capital,"A Chicago-based venture capital firm that invests in companies in the analytics, finance and technology sectors", , , ,kvgpartners.net, ,Chicago 
Digital Power Capital,A private equity firm that is focused on investments in digital power technologies, ,2001, ,digitalpower.com, ,Greenwich 
SCF Arizona,A Phoenix-based venture capital firm that offers worker’s compensation solutions, ,1925, ,scfaz.com,@SCFArizona,"Phoenix, Arizona "
BankInvest Biomedical Venture,A venture capital firm in Denmark that invests in research-based biotechnology companies in Europe, ,1998, ,biventure.com, ,Copenhagen 
Impression Ventures,Impression Ventures is a venture capital firm headquartered in Toronto investing in financial technology companies., ,2013,medium.com/impression-ventures ,impression.ventures,@impressionvc,Toronto 
Embark Ventures,"Embark Ventures invests in pre-seed and seed stage deep technology companies focused on cybersecurity, robotics and autonomy, health technology, and advanced manufacturing and materials.", , , ,embark.vc, , 
ALPS Information Technology Fund,ALPS Information Technology Fund is a Tokyo based venture capital arm of Alps Electric., , , ,alps.com, ,Tokyo 
Evidation Health,Evidation Health is a health and measurement company providing technical support to biopharmaceutical and healthcare companies., ,2012, ,evidation.com,@evidation,"San Mateo, California "
FJ Labs,FJ Labs is a stage-agnostic New York-based investment firm with global focus. FJ Labs focuses on marketplaces and consumer facing startups., , , ,fjlabs.com,@fjlabs,New York City 
MAVCAP,A venture capital company in Malaysia that makes investments in the information and communication technologies sector, ,2001, ,mavcap.com,@officialmavcap,Kuala Lumpur 
St. Louis Arch Angels,A venture capital and private equity firm investing in startup companies in the St.Louis ecosystem. , ,2005, ,stlouisarchangels.angelgroups.net, ,St. Louis 
Welsh Assembly Government,Welsh Assembly Government is a venture capital company., , , ,walesresilience.org/fundi...areas/,@welshgovernment,Cardiff Wales 
Quark Venture Capital,?, , , ,quarkventure.com, ,"Vancouver Chengdu Guangzhou Boston Berkeley, California "
Loeb.nyc,"Loeb.nyc is the venture arm of Loeb Enterprises focused on building businesses in healthcare, beauty, ride-sharing, consumer packaged goods, financial technology, and other industries.", , , ,loeb.nyc,@loebnyc, 
Signal Ventures,Singapore based venture capital firm investing in early-stage blockchain-based technology companies, , , ,signal.vc, ,Singapore 
MTGx,A strategic operational and investment holding company for esports and gaming entertainment companies. , , , ,mtgx.se,@mtgxdigital, 
Clearpoint Ventures,A New York-based venture capital firm that invests in startups that focus on high growth and clean economy, ,2009, ,clearpointventures.com, ,New York City 
Mey Capital Matrix,Planegg based venture capital firm investing in life-science startups in Germany, ,2010, ,meycapital.com, ,Planegg 
BIP Capital,BIP Capital is a venture capital and private equity firm that invests in companies that reside in the Southeastern United States, , , ,bip-capital.com,@bipcapital,Atlanta 
Reitler Advisory Group,A venture capital firm in New York that provides mentoring and advisory services to early stage companies, ,2012, ,reitlerlaw.com/reitler...y-group/,@@reitleradvisory,New York City 
Future Positive Capital,A Paris based venture capital firm that focuses on companies in the advanced science and deep technologies, ,2017, ,futurepositivecapital.com,@wearefpc,Paris 
Rockley Ventures,A venture capital and private equity firm investing in technology companies operating within large markets. , , , ,rockleygroup.com, ,Oxford 
ESADE BAN,ESADE BAN is a Spanish business angel network investment group., , , ,esadealumni.net/en/inve...sade-ban, ,Barcelona 
